Time	Node	Type	Packets	
8	Prod22	CacheHits	0
8	Prod22	CacheMisses	3781
9	Rtr1	CacheHits	2690
9	Rtr1	CacheMisses	1955
9	Rtr2	CacheHits	1674
9	Rtr2	CacheMisses	3010
9	Rtr3	CacheHits	1681
9	Rtr3	CacheMisses	2140
9	Rtr4	CacheHits	727
9	Rtr4	CacheMisses	4456
9	Rtr5	CacheHits	112
9	Rtr5	CacheMisses	1210
9	Rtr6	CacheHits	10
9	Rtr6	CacheMisses	1214
9	Rtr7	CacheHits	1111
9	Rtr7	CacheMisses	3454
9	Rtr8	CacheHits	1272
9	Rtr8	CacheMisses	2339
9	Rtr9	CacheHits	1225
9	Rtr9	CacheMisses	2600
9	Rtr10	CacheHits	0
9	Rtr10	CacheMisses	0
9	Rtr11	CacheHits	0
9	Rtr11	CacheMisses	0
9	BTR1	CacheHits	0
9	BTR1	CacheMisses	1153
9	BTR2	CacheHits	0
9	BTR2	CacheMisses	1114
9	BTR3	CacheHits	0
9	BTR3	CacheMisses	0
9	BTR32	CacheHits	0
9	BTR32	CacheMisses	4101
9	BTR4	CacheHits	0
9	BTR4	CacheMisses	996
9	BTR42	CacheHits	0
9	BTR42	CacheMisses	1176
9	BTP1	CacheHits	0
9	BTP1	CacheMisses	7345
9	BTP2	CacheHits	0
9	BTP2	CacheMisses	6948
9	BTP3	CacheHits	0
9	BTP3	CacheMisses	0
9	BTP4	CacheHits	0
9	BTP4	CacheMisses	7892
9	BTP32	CacheHits	0
9	BTP32	CacheMisses	1203
9	BTP42	CacheHits	0
9	BTP42	CacheMisses	8002
9	Cons1	CacheHits	0
9	Cons1	CacheMisses	1126
9	Cons2	CacheHits	0
9	Cons2	CacheMisses	0
9	Prod11	CacheHits	0
9	Prod11	CacheMisses	2647
9	Prod12	CacheHits	0
9	Prod12	CacheMisses	1829
9	Prod21	CacheHits	0
9	Prod21	CacheMisses	47
9	Prod22	CacheHits	0
9	Prod22	CacheMisses	595
10	Rtr1	CacheHits	2906
10	Rtr1	CacheMisses	1906
10	Rtr2	CacheHits	1621
10	Rtr2	CacheMisses	3054
10	Rtr3	CacheHits	751
10	Rtr3	CacheMisses	1467
10	Rtr4	CacheHits	298
10	Rtr4	CacheMisses	2295
10	Rtr5	CacheHits	6
10	Rtr5	CacheMisses	2888
10	Rtr6	CacheHits	0
10	Rtr6	CacheMisses	2893
10	Rtr7	CacheHits	676
10	Rtr7	CacheMisses	2012
10	Rtr8	CacheHits	936
10	Rtr8	CacheMisses	2286
10	Rtr9	CacheHits	871
10	Rtr9	CacheMisses	2479
10	Rtr10	CacheHits	0
10	Rtr10	CacheMisses	0
10	Rtr11	CacheHits	0
10	Rtr11	CacheMisses	0
10	BTR1	CacheHits	0
10	BTR1	CacheMisses	1111
10	BTR2	CacheHits	0
10	BTR2	CacheMisses	375
10	BTR3	CacheHits	0
10	BTR3	CacheMisses	3781
10	BTR32	CacheHits	0
10	BTR32	CacheMisses	0
10	BTR4	CacheHits	0
10	BTR4	CacheMisses	586
10	BTR42	CacheHits	0
10	BTR42	CacheMisses	383
10	BTP1	CacheHits	0
10	BTP1	CacheMisses	6367
10	BTP2	CacheHits	0
10	BTP2	CacheMisses	1845
10	BTP3	CacheHits	0
10	BTP3	CacheMisses	2869
10	BTP4	CacheHits	0
10	BTP4	CacheMisses	4099
10	BTP32	CacheHits	0
10	BTP32	CacheMisses	0
10	BTP42	CacheHits	0
10	BTP42	CacheMisses	3068
10	Cons1	CacheHits	0
10	Cons1	CacheMisses	1227
10	Cons2	CacheHits	0
10	Cons2	CacheMisses	552
10	Prod11	CacheHits	0
10	Prod11	CacheMisses	2871
10	Prod12	CacheHits	0
10	Prod12	CacheMisses	2490
10	Prod21	CacheHits	0
10	Prod21	CacheMisses	1
10	Prod22	CacheHits	0
10	Prod22	CacheMisses	26
11	Rtr1	CacheHits	710
11	Rtr1	CacheMisses	388
11	Rtr2	CacheHits	546
11	Rtr2	CacheMisses	909
11	Rtr3	CacheHits	185
11	Rtr3	CacheMisses	556
11	Rtr4	CacheHits	22
11	Rtr4	CacheMisses	1668
11	Rtr5	CacheHits	131
11	Rtr5	CacheMisses	1092
11	Rtr6	CacheHits	13
11	Rtr6	CacheMisses	1079
11	Rtr7	CacheHits	21
11	Rtr7	CacheMisses	485
11	Rtr8	CacheHits	0
11	Rtr8	CacheMisses	1185
11	Rtr9	CacheHits	90
11	Rtr9	CacheMisses	1717
11	Rtr10	CacheHits	0
11	Rtr10	CacheMisses	0
11	Rtr11	CacheHits	0
11	Rtr11	CacheMisses	0
11	BTR1	CacheHits	0
11	BTR1	CacheMisses	0
11	BTR2	CacheHits	0
11	BTR2	CacheMisses	0
11	BTR3	CacheHits	0
11	BTR3	CacheMisses	0
11	BTR32	CacheHits	0
11	BTR32	CacheMisses	3883
11	BTR4	CacheHits	0
11	BTR4	CacheMisses	0
11	BTR42	CacheHits	0
11	BTR42	CacheMisses	0
11	BTP1	CacheHits	0
11	BTP1	CacheMisses	916
11	BTP2	CacheHits	0
11	BTP2	CacheMisses	0
11	BTP3	CacheHits	0
11	BTP3	CacheMisses	0
11	BTP4	CacheHits	0
11	BTP4	CacheMisses	1
11	BTP32	CacheHits	0
11	BTP32	CacheMisses	1049
11	BTP42	CacheHits	0
11	BTP42	CacheMisses	0
11	Cons1	CacheHits	0
11	Cons1	CacheMisses	311
11	Cons2	CacheHits	0
11	Cons2	CacheMisses	2883
11	Prod11	CacheHits	0
11	Prod11	CacheMisses	1291
11	Prod12	CacheHits	0
11	Prod12	CacheMisses	1351
11	Prod21	CacheHits	0
11	Prod21	CacheMisses	0
11	Prod22	CacheHits	0
11	Prod22	CacheMisses	876
12	Rtr1	CacheHits	1
12	Rtr1	CacheMisses	1187
12	Rtr2	CacheHits	1
12	Rtr2	CacheMisses	1081
12	Rtr3	CacheHits	0
12	Rtr3	CacheMisses	1696
12	Rtr4	CacheHits	0
12	Rtr4	CacheMisses	1715
12	Rtr5	CacheHits	0
12	Rtr5	CacheMisses	376
12	Rtr6	CacheHits	0
12	Rtr6	CacheMisses	376
12	Rtr7	CacheHits	0
12	Rtr7	CacheMisses	3560
12	Rtr8	CacheHits	0
12	Rtr8	CacheMisses	3940
